group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
1608,5,0.16666666666666666,1,1,1,1,1
117,5,0.16666666666666666,1,1,1,1,1
108,5,0.16666666666666666,1,1,1,1,1
31,5,0.16666666666666666,1,1,1,1,1
843,5,0.16666666666666666,1,1,1,1,1
950,5,0.16666666666666666,1,1,1,1,1
926,5,0.16666666666666666,1,1,1,1,1
967,5,0.16666666666666666,1,1,1,1,1
1518,5,0.16666666666666666,1,1,1,1,1
930,5,0.16666666666666666,1,1,1,1,1
970,5,0.16666666666666666,1,1,1,1,1
322,5,0.2916666666666667,1,1,1,1,1
957,5,0.16666666666666666,1,1,1,1,1
1019,5,0.16666666666666666,1,1,1,1,1
226,5,0.16666666666666666,1,1,1,1,1
1062,5,0.16666666666666666,1,1,1,1,1
1059,5,0.5,2,1,1,1,1
210,5,0.16666666666666666,1,1,1,1,1
208,5,0.16666666666666666,1,1,1,1,1
195,5,0.16666666666666666,1,1,1,1,1
1470,5,0.16666666666666666,1,1,1,1,1
823,5,0.16666666666666666,1,1,1,1,1
316,5,0.2916666666666667,1,1,1,1,1
1037,5,0.16666666666666666,1,1,1,1,1
1279,5,0.16666666666666666,1,1,1,1,1
1382,5,0.16666666666666666,1,1,1,1,1
1270,5,0.16666666666666666,1,1,1,1,1
1137,5,0.16666666666666666,1,1,1,1,1
1134,5,0.16666666666666666,1,1,1,1,1
1244,5,0.16666666666666666,1,1,1,1,1
1192,5,0.16666666666666666,1,1,1,1,1
1222,5,0.16666666666666666,1,1,1,1,1
1218,5,0.16666666666666666,1,1,1,1,1
1085,5,0.20833333333333334,1,1,1,1,1
1126,5,0.16666666666666666,1,1,1,1,1
1338,5,0.16666666666666666,1,1,1,1,1
1103,5,0.2916666666666667,1,1,1,1,1
263,5,0.16666666666666666,1,1,1,1,1
1209,5,0.16666666666666666,1,1,1,1,1
1153,5,0.16666666666666666,1,1,1,1,1
1178,5,0.16666666666666666,1,1,1,1,1
1169,5,0.16666666666666666,1,1,1,1,1
1767,5,0.16666666666666666,1,1,1,1,1
92,5,0.20833333333333334,1,1,1,1,1
455,5,1.1666666666666667,2,2,1,1,1
446,5,0.16666666666666666,1,1,1,1,1
460,4,0.125,1,1,1,1,1
450,4,0.125,1,1,1,1,1
487,4,0.16666666666666666,1,1,1,1,1
468,4,0.16666666666666666,1,1,1,1,1
1258,4,0.125,1,1,1,1,1
1193,4,0.125,1,1,1,1,1
1131,4,0.125,1,1,1,1,1
1679,4,0.125,1,1,1,1,1
1231,4,0.125,1,1,1,1,1
1668,4,1.0,2,2,1,1,1
1671,4,0.125,1,1,1,1,1
1057,4,0.20833333333333334,1,1,1,1,1
1008,4,0.16666666666666666,1,1,1,1,1
329,4,0.20833333333333334,1,1,1,1,1
304,4,0.125,1,1,1,1,1
1379,4,0.125,1,1,1,1,1
225,4,0.125,1,1,1,1,1
1016,4,0.16666666666666666,1,1,1,1,1
286,4,0.125,1,1,1,1,1
1204,4,0.16666666666666666,1,1,1,1,1
295,4,0.125,1,1,1,1,1
34,4,0.125,1,1,1,1,1
36,4,0.125,1,1,1,1,1
1324,4,0.125,1,1,1,1,1
1088,4,0.125,1,1,1,1,1
1073,4,0.20833333333333334,1,1,1,1,1
1038,4,0.375,2,1,1,1,1
1462,4,0.125,1,1,1,1,1
1582,4,0.125,1,1,1,1,1
1565,4,0.125,1,1,1,1,1
1631,4,0.125,1,1,1,1,1
1748,4,0.125,1,1,1,1,1
1709,4,0.20833333333333334,1,1,1,1,1
1764,4,0.125,1,1,1,1,1
519,4,0.16666666666666666,1,1,1,1,1
1593,4,0.875,2,2,1,1,1
1591,4,0.125,1,1,1,1,1
516,4,0.125,1,1,1,1,1
553,4,0.5,2,1,1,1,1
573,4,0.125,1,1,1,1,1
539,4,0.20833333333333334,1,1,1,1,1
677,4,0.125,1,1,1,1,1
679,4,0.20833333333333334,1,1,1,1,1
1743,4,0.125,1,1,1,1,1
1692,4,0.16666666666666666,1,1,1,1,1
1626,4,0.125,1,1,1,1,1
115,4,0.125,1,1,1,1,1
600,4,0.25,1,1,1,1,1
411,4,0.125,1,1,1,1,1
754,4,0.125,1,1,1,1,1
106,4,0.125,1,1,1,1,1
