group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
804,2,0.041666666666666664,1,1,1,1,1
1480,2,0.041666666666666664,1,1,1,1,1
799,2,0.041666666666666664,1,1,1,1,1
798,2,0.041666666666666664,1,1,1,1,1
174,2,0.041666666666666664,1,1,1,1,1
69,2,0.041666666666666664,1,1,1,1,1
819,2,0.041666666666666664,1,1,1,1,1
1497,2,0.041666666666666664,1,1,1,1,1
372,2,0.041666666666666664,1,1,1,1,1
1498,2,0.041666666666666664,1,1,1,1,1
656,2,0.08333333333333333,1,1,1,1,1
401,2,0.041666666666666664,1,1,1,1,1
162,2,0.041666666666666664,1,1,1,1,1
398,2,0.08333333333333333,1,1,1,1,1
395,2,0.041666666666666664,1,1,1,1,1
165,2,0.041666666666666664,1,1,1,1,1
392,2,0.041666666666666664,1,1,1,1,1
136,2,0.041666666666666664,1,1,1,1,1
766,2,0.041666666666666664,1,1,1,1,1
761,2,0.041666666666666664,1,1,1,1,1
760,2,0.041666666666666664,1,1,1,1,1
759,2,0.041666666666666664,1,1,1,1,1
161,2,0.041666666666666664,1,1,1,1,1
200,2,0.125,1,1,1,1,1
201,2,0.041666666666666664,1,1,1,1,1
918,2,0.041666666666666664,1,1,1,1,1
911,2,0.041666666666666664,1,1,1,1,1
1412,2,0.08333333333333333,1,1,1,1,1
1414,2,0.041666666666666664,1,1,1,1,1
1455,2,0.20833333333333334,1,1,1,1,1
354,2,0.041666666666666664,1,1,1,1,1
385,2,0.041666666666666664,1,1,1,1,1
383,2,0.041666666666666664,1,1,1,1,1
379,2,0.041666666666666664,1,1,1,1,1
841,2,0.08333333333333333,1,1,1,1,1
853,2,0.041666666666666664,1,1,1,1,1
77,2,0.041666666666666664,1,1,1,1,1
180,2,0.041666666666666664,1,1,1,1,1
181,2,0.041666666666666664,1,1,1,1,1
168,2,0.08333333333333333,1,1,1,1,1
357,2,0.08333333333333333,1,1,1,1,1
356,2,0.041666666666666664,1,1,1,1,1
1488,2,0.041666666666666664,1,1,1,1,1
851,2,0.041666666666666664,1,1,1,1,1
1461,2,0.041666666666666664,1,1,1,1,1
1473,2,0.041666666666666664,1,1,1,1,1
1474,2,0.041666666666666664,1,1,1,1,1
1437,2,0.041666666666666664,1,1,1,1,1
692,2,0.041666666666666664,1,1,1,1,1
719,2,0.041666666666666664,1,1,1,1,1
149,2,0.041666666666666664,1,1,1,1,1
714,2,0.041666666666666664,1,1,1,1,1
680,2,0.041666666666666664,1,1,1,1,1
1577,2,0.041666666666666664,1,1,1,1,1
1578,2,0.041666666666666664,1,1,1,1,1
1583,2,0.041666666666666664,1,1,1,1,1
1589,2,0.041666666666666664,1,1,1,1,1
1558,2,0.041666666666666664,1,1,1,1,1
666,2,0.041666666666666664,1,1,1,1,1
781,2,0.041666666666666664,1,1,1,1,1
104,2,0.041666666666666664,1,1,1,1,1
406,2,0.25,1,1,1,1,1
1603,2,0.041666666666666664,1,1,1,1,1
431,2,0.041666666666666664,1,1,1,1,1
22,2,0.041666666666666664,1,1,1,1,1
426,2,0.041666666666666664,1,1,1,1,1
1614,2,0.25,1,1,1,1,1
633,2,0.041666666666666664,1,1,1,1,1
1617,2,0.041666666666666664,1,1,1,1,1
627,2,0.041666666666666664,1,1,1,1,1
626,2,0.041666666666666664,1,1,1,1,1
663,2,0.041666666666666664,1,1,1,1,1
780,2,0.08333333333333333,1,1,1,1,1
723,2,0.041666666666666664,1,1,1,1,1
751,2,0.041666666666666664,1,1,1,1,1
1529,2,0.041666666666666664,1,1,1,1,1
744,2,0.041666666666666664,1,1,1,1,1
743,2,0.041666666666666664,1,1,1,1,1
740,2,0.041666666666666664,1,1,1,1,1
770,2,0.041666666666666664,1,1,1,1,1
1535,2,0.041666666666666664,1,1,1,1,1
726,2,0.041666666666666664,1,1,1,1,1
420,2,0.041666666666666664,1,1,1,1,1
143,2,0.041666666666666664,1,1,1,1,1
415,2,0.5,2,1,1,1,1
1567,2,0.041666666666666664,1,1,1,1,1
724,2,0.041666666666666664,1,1,1,1,1
1545,2,0.041666666666666664,1,1,1,1,1
1546,2,0.041666666666666664,1,1,1,1,1
737,2,0.041666666666666664,1,1,1,1,1
736,2,0.041666666666666664,1,1,1,1,1
1552,2,0.041666666666666664,1,1,1,1,1
730,2,0.041666666666666664,1,1,1,1,1
727,2,0.041666666666666664,1,1,1,1,1
139,2,0.041666666666666664,1,1,1,1,1
698,2,0.041666666666666664,1,1,1,1,1
416,2,0.2916666666666667,2,1,1,1,1
1230,2,0.20833333333333334,1,1,1,1,1
1142,2,0.041666666666666664,1,1,1,1,1
1141,2,0.041666666666666664,1,1,1,1,1
1140,2,0.041666666666666664,1,1,1,1,1
1234,2,0.041666666666666664,1,1,1,1,1
1110,2,0.041666666666666664,1,1,1,1,1
1102,2,0.041666666666666664,1,1,1,1,1
244,2,0.041666666666666664,1,1,1,1,1
302,2,0.041666666666666664,1,1,1,1,1
297,2,0.25,1,1,1,1,1
44,2,0.041666666666666664,1,1,1,1,1
190,2,0.041666666666666664,1,1,1,1,1
1082,2,0.041666666666666664,1,1,1,1,1
1070,2,0.041666666666666664,1,1,1,1,1
1068,2,0.041666666666666664,1,1,1,1,1
1067,2,0.041666666666666664,1,1,1,1,1
1249,2,0.041666666666666664,1,1,1,1,1
1252,2,0.6666666666666666,2,2,1,1,1
1257,2,0.041666666666666664,1,1,1,1,1
1259,2,0.041666666666666664,1,1,1,1,1
1056,2,0.041666666666666664,1,1,1,1,1
1263,2,0.041666666666666664,1,1,1,1,1
1051,2,0.041666666666666664,1,1,1,1,1
291,2,0.041666666666666664,1,1,1,1,1
1174,2,0.041666666666666664,1,1,1,1,1
1164,2,0.041666666666666664,1,1,1,1,1
1190,2,0.041666666666666664,1,1,1,1,1
1187,2,0.08333333333333333,1,1,1,1,1
267,2,0.125,1,1,1,1,1
1195,2,0.041666666666666664,1,1,1,1,1
1237,2,0.041666666666666664,1,1,1,1,1
277,2,0.041666666666666664,1,1,1,1,1
276,2,0.041666666666666664,1,1,1,1,1
1239,2,0.125,1,1,1,1,1
1146,2,0.08333333333333333,1,1,1,1,1
1229,2,0.041666666666666664,1,1,1,1,1
1212,2,0.041666666666666664,1,1,1,1,1
1214,2,0.041666666666666664,1,1,1,1,1
1156,2,0.041666666666666664,1,1,1,1,1
1191,2,0.041666666666666664,1,1,1,1,1
1246,2,0.041666666666666664,1,1,1,1,1
1150,2,0.08333333333333333,1,1,1,1,1
1149,2,0.041666666666666664,1,1,1,1,1
1122,2,0.041666666666666664,1,1,1,1,1
38,2,0.041666666666666664,1,1,1,1,1
1226,2,0.041666666666666664,1,1,1,1,1
1227,2,0.041666666666666664,1,1,1,1,1
1228,2,0.041666666666666664,1,1,1,1,1
1211,2,0.041666666666666664,1,1,1,1,1
998,2,0.041666666666666664,1,1,1,1,1
1335,2,0.041666666666666664,1,1,1,1,1
323,2,0.041666666666666664,1,1,1,1,1
215,2,0.041666666666666664,1,1,1,1,1
345,2,0.041666666666666664,1,1,1,1,1
344,2,0.041666666666666664,1,1,1,1,1
