metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap
cct_weighted_std,,nAURC(MAE),0.7474267671155388,0.7456407498248407,0.7491506477419463,200
cct_weighted_std,1.0,mae,0.018380626671580448,0.01828361117738518,0.018492214459552028,200
cct_weighted_std,1.0,rmse,0.02961406375094692,0.029411945918440343,0.029834531470026265,200
cct_weighted_std,0.95,mae,0.015729218557329748,0.015653333806756563,0.015818487194661033,200
cct_weighted_std,0.95,rmse,0.02100645024676398,0.02089098241471602,0.021129292600840507,200
cct_weighted_std,0.9,mae,0.014837651687111502,0.014761021116538306,0.014923836443170383,200
cct_weighted_std,0.9,rmse,0.019381512902232594,0.019278031603862048,0.01948841719390716,200
cct_weighted_std,0.8,mae,0.013800456420776954,0.013726720170018622,0.013885591922461494,200
cct_weighted_std,0.8,rmse,0.017783474690099044,0.017686004273109592,0.017881343792636388,200
cct_weighted_std,0.7,mae,0.013024140034183567,0.012954259419819553,0.013104181111067655,200
cct_weighted_std,0.7,rmse,0.016675748873625443,0.016583058974291714,0.016768793949895874,200
cct_weighted_std,0.5,mae,0.011756217076971555,0.011689288188214523,0.01183678449641437,200
cct_weighted_std,0.5,rmse,0.014948320233689371,0.014862068803049707,0.015063404868158456,200
cct_distance_correlation_abs,,nAURC(MAE),1.0154386531832584,1.0131843601484443,1.0178822583143519,200
cct_distance_correlation_abs,1.0,mae,0.018380510421910565,0.018283443674480027,0.018491882529460307,200
cct_distance_correlation_abs,1.0,rmse,0.029613939167088068,0.029412125806656017,0.029834654361381153,200
cct_distance_correlation_abs,0.95,mae,0.018424182286658475,0.01832815323309252,0.018540960933300675,200
cct_distance_correlation_abs,0.95,rmse,0.029729289298548896,0.029518821325305294,0.029957211453133462,200
cct_distance_correlation_abs,0.9,mae,0.018473488670180255,0.01837316303194186,0.0185912102584093,200
cct_distance_correlation_abs,0.9,rmse,0.029836025526298812,0.029598220480353727,0.03006825773162196,200
